taste_balance,price_norm,health_score,fitness
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
1.0,0.0,1.0,3.0
