taste_balance,price_norm,health_score,carbon_norm
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
1.0,0.0,1,0.0
